項目,件数
BFR ♀,4
CI ♀,26
CI ♂,8
ML ♀,14
ML ♂,4
TP ♀,11
TP ♂,7
犬 合計,74
出産記録,90
産子数 合計（♂＋♀）,262
死産 合計,18
ワクチン記録,133
相手先,14
★要確認,33
,
カラー欄の原文,出現数
AP,3
BK,12
BK T,4
BK WH,2
CHLT,1
CR,8
CR H,1
FN,3
RD,8
クリーム,1
ブラタン,1
マール,3
牛,1
,
毛質,出現数
