項目,件数
BFR ♀,4
BFR ♂,2
CI ♀,26
CI ♂,16
ML ♀,14
ML ♂,6
PO ♂,1
TP ♀,11
TP ♂,6
犬 合計,86
出産記録,91
産子数 合計（♂＋♀）,267
死産 合計,18
ワクチン記録,142
相手先,20
★要確認,21
,
カラー欄の原文,出現数
AP,3
BK,12
BK T,4
BK WH,2
CHLT,1
CR,8
CR H,1
FN,3
RD,8
クリーム,1
ブラタン,1
マール,3
牛,1
,
毛質,出現数
